free,log,restart,rmse,converged,in_bounds,C_c,h_amb,K_Q,h_fc,sigma,tau,theta,dead,coast
K_Q+C_c+h_fc+h_amb,grillsim_heatup,1,3.526781907989666,True,False,132.2001616558032,1.000000000003448e-09,1.6051191184285736,19.02014844115189,1.1653520093459547e-09,132200161655.3474,47.29941676886945,20.0,6523.0
K_Q+C_c+h_fc+h_amb,grillsim_heatup,2,1.3971459189809305,True,False,243.10841667147935,1.0000172422404058e-09,2.6992059606785523,13.674308750465833,1.9478767343691248e-09,243104225009.98807,36.53171759935784,16.0,5283.0
K_Q+C_c+h_fc+h_amb,grillsim_heatup,3,2.062211756816615,True,False,127.481601617176,1.0000000001097793e-09,1.5136598695040417,19.600310004880377,1.0947475208970696e-09,127481601603.18115,40.46007544861847,18.0,6623.0
K_Q+C_c+h_fc+h_amb,grillsim_heatup,4,1.5878910113057865,True,False,185.8086876000745,1.0086425357773907e-09,2.184115394066399,28.69181303549993,1.5773313406580014e-09,184216589137.66336,37.84740139169452,17.0,6656.0
K_Q+C_c+h_fc+h_amb+theta,grillsim_heatup,0,1.137287676636082,True,False,173.1778202344182,1.1582263523788076e-09,1.9434644805173003,1.2361273123169485,1.4e-09,149519841159.49292,27.107924956064462,17.0,21.0
K_Q+C_c+h_fc+h_amb+theta,grillsim_heatup,1,1.137931213089558,True,False,220.97820700826657,4.532181137941716e-09,2.4391867896256514,1.0853544375340667,1.7570991729437806e-09,48757584986.68999,27.138050977014835,17.0,21.0
K_Q+C_c+h_fc+h_amb+theta,grillsim_heatup,2,1.137841582527504,True,False,146.42251205802916,2.7105742386554922e-08,1.6199940234341819,0.765583151475453,1.1669832525087224e-09,5401900083.380787,27.134302096914247,17.0,21.0
K_Q+C_c+h_fc+h_amb+theta,grillsim_heatup,3,1.1367406010486236,True,False,129.87685469404315,6.588330356871609e-09,1.4778042307076362,1.1620485355725567,1.0645559762220829e-09,19713166714.322693,27.082137205691424,17.0,21.0
K_Q+C_c+h_fc+h_amb+theta,grillsim_heatup,4,1.135499672517606,True,False,158.46779219621465,1.4825418879187251e-09,1.8590040149430518,2.0269583524122003,1.3391596737281859e-09,106889251148.70148,27.024988151221333,17.0,21.0
C_c+theta,grillsim_heatup,0,29.84040432710604,True,True,249.12996322495104,0.5,3.5,1.3,1.4e-09,498.2599264499021,46.1564191914259,23.0,29.0
C_c+theta,grillsim_heatup,1,47.340930816182755,True,True,185.34646119068535,0.5728336566376702,2.8421488928503353,0.71677486780838,8.678478595169476e-10,323.56070395479753,50.21004213487986,26.0,32.0
C_c+theta,grillsim_heatup,2,13.38861065121099,True,True,302.81958149388464,0.3797221037082786,3.7768578114055753,1.6855362105368537,1.664242696465263e-09,797.4768351292125,39.820335444341346,20.0,26.0
C_c+theta,grillsim_heatup,3,99.85620299862245,True,True,121.41720600766149,0.6928237610215724,2.4205386320638005,1.5744930080319588,1.8498990251286205e-09,175.24977178702872,87.47223249441761,34.0,0.0
C_c+theta,grillsim_heatup,4,94.3813804065812,True,True,113.85041072506442,0.5959793137137417,2.108316699154862,0.8423753043130835,1.3489872977558345e-09,191.0308094682437,80.31354874576358,33.0,17.0
K_Q+C_c,grillsim_heatup,0,6.041613882595019,True,True,365.43059377732664,0.5,4.463331410957345,1.3,1.4e-09,730.8611875546533,50.0,25.0,39.0
K_Q+C_c,grillsim_heatup,1,1.2583417964024388,True,True,299.9554991436368,0.3758870033602335,3.4179323819700413,1.0506190920396656,1.0704733686431966e-09,797.9938025581924,23.845258147840422,16.0,23.0
